gender,height,hand_size,foot_size
1,171.3,180,250
1,172.2,185,242
1,181.7,204,265
1,177.9,190,253
1,170.8,176,250
1,175.9,190,264
1,177.4,189,262
1,174.5,183,251
1,164.9,177,240
1,174.4,181,241
1,178.3,188,263
1,173.3,186,260
1,172.8,182,247
1,182.2,187,247
1,177.8,192,259
1,169.3,177,245
1,171.0,186,261
1,187.6,204,282
1,168.7,177,242
1,168.7,177,262
1,179.7,183,258
1,180.2,197,270
1,179.7,193,272
1,166.3,176,248
1,181.0,201,263
1,167.8,179,245
1,171.2,179,257
1,180.7,189,251
1,168.8,178,248
1,178.3,187,264
1,174.2,185,243
1,181.7,180,242
1,178.2,195,262
1,181.4,196,264
1,179.5,191,277
1,182.2,187,274
1,170.7,186,253
1,170.5,175,242
1,180.7,186,262
1,165.4,167,242
1,168.5,178,253
1,177.9,193,250
1,179.5,186,261
